StockName,Ticker
BYD Co. Ltd.,1211 HK
1211 HK,1211 HK
BYD,1211 HK
Covestro AG,1COV GR
1COV GR,1COV GR
Covestro,1COV GR
Ping An Insurance (Group) Co. of China Ltd.,2318 HK
Ping An,2318 HK
2318 HK,2318 HK
2502 JP,2502 JP
2502 JP,2502 JP
Asahi,2502 JP
Asahi Group Holdings Ltd.,2502 JP
4502 JP,4502 JP
Takeda,4502 JP
Takeda Pharmaceutical Co. Ltd.,4502 JP
6758 JP,6758 JP
Sony,6758 JP
Sony Group Corp.,6758 JP
700 HK,700 HK
Tencent,700 HK
Tencent Holdings Ltd.,700 HK
7203 JP,7203 JP
Toyota,7203 JP
Toyota Motor Corp.,7203 JP
7974 JP,7974 JP
Nintendo,7974 JP
Nintendo Co. Ltd.,7974 JP
8316 JP,8316 JP
Sumitomo Mitsui,8316 JP
Sumitomo Mitsui Financial Group Inc.,8316 JP
992 HK,992 HK
Lenovo,992 HK
Lenovo Group Ltd.,992 HK
AAL LN,AAL LN
Anglo American Plc,AAL LN
AAL US,AAL US
American Airlines Group Inc.,AAL US
AAPL US,AAPL US
Apple,AAPL US
Apple Inc.,AAPL US
AA US,AA US
Alcoa,AA US
Alcoa Corp.,AA US
ABBN SW,ABBN SW
ABB,ABBN SW
ABB Ltd.,ABBN SW
ABBV US,ABBV US
AbbVie,ABBV US
AbbVie Inc.,ABBV US
ABI BB,ABI BB
Anheuser-Busch,ABI BB
Anheuser-Busch InBev SA/NV,ABI BB
ABN NA,ABN NA
ABN AMRO,ABN NA
ABN AMRO Bank NV,ABN NA
ABT US,ABT US
Abbott,ABT US
Abbott Laboratories,ABT US
ACA FP,ACA FP
Crédit Agricole,ACA FP
Crédit Agricole SA,ACA FP
AC FP,AC FP
Accor,AC FP
Accor SA,AC FP
ACN US,ACN US
Accenture,ACN US
Accenture Plc,ACN US
ADBE US,ADBE US
Adobe,ADBE US
Adobe Inc.,ADBE US
ADEN SW,ADEN SW
Adecco,ADEN SW
Adecco Group AG,ADEN SW
ADM US,ADM US
Archer-Daniels,ADM US
Archer-Daniels-Midland Co.,ADM US
AD NA,AD NA
Koninklijke,AD NA
Koninklijke Ahold Delhaize NV,AD NA
ADS GR,ADS GR
adidas,ADS GR
adidas AG,ADS GR
ADSK US,ADSK US
Autodesk,ADSK US
Autodesk Inc.,ADSK US
AF FP,AF FP
Air France,AF FP
Air France-KLM SA,AF FP
AI FP,AI FP
Air Liquide,AI FP
Air Liquide SA,AI FP
AIR FP,AIR FP
Airbus,AIR FP
Airbus SE,AIR FP
AKE FP,AKE FP
Arkema,AKE FP
Arkema SA,AKE FP
ALB US,ALB US
Albemarle,ALB US
Albemarle Corp.,ALB US
ALGN US,ALGN US
Align,ALGN US
Align Technology Inc.,ALGN US
ALO FP,ALO FP
Alstom,ALO FP
Alstom SA,ALO FP
ALV GR,ALV GR
Allianz,ALV GR
Allianz SE,ALV GR
AMAT US,AMAT US
Applied Materials,AMAT US
Applied Materials Inc.,AMAT US
AMD US,AMD US
Advanced Micro Devices.,AMD US
Advanced Micro Devices Inc.,AMD US
AMGN US,AMGN US
Amgen,AMGN US
Amgen Inc.,AMGN US
AMS SM,AMS SM
Amadeus,AMS SM
Amadeus IT Group SA,AMS SM
AMT US,AMT US
American Tower,AMT US
American Tower Corp.,AMT US
AMZN US,AMZN US
Amazon.com,AMZN US
Amazon.com Inc.,AMZN US
Amazon,AMZN US
ANET US,ANET US
Arista,ANET US
Arista Networks Inc.,ANET US
APD US,APD US
Air Products & Chemicals,APD US
Air Products & Chemicals Inc.,APD US
APO US,APO US
Apollo,APO US
Apollo Global Management Inc.,APO US
AS51,AS51
SP ASX200,AS51
ASML NA,ASML NA
ASML,ASML NA
ASML Holding NV,ASML NA
ATCOA SS,ATCOA SS
Atlas Copco,ATCOA SS
Atlas Copco AB,ATCOA SS
AU US,AU US
Anglogold Ashanti,AU US
Anglogold Ashanti Plc,AU US
AVGO US,AVGO US
Broadcom,AVGO US
Broadcom Inc.,AVGO US
AVOL SW,AVOL SW
Avolta,AVOL SW
Avolta AG,AVOL SW
AXP US,AXP US
American Express,AXP US
American Express Co.,AXP US
AZN LN,AZN LN
AstraZeneca,AZN LN
AstraZeneca PLC,AZN LN
BABA US,BABA US
Alibaba,BABA US
Alibaba Group Holding Ltd.,BABA US
BAC US,BAC US
Bank of America,BAC US
Bank of America Corp.,BAC US
BAER SW,BAER SW
Julius Bär Gruppe,BAER SW
Julius Baer,BAER SW
Julius Bär Gruppe AG,BAER SW
BALN SW,BALN SW
Bâloise,BALN SW
Baloise,BALN SW
Bâloise Holding AG,BALN SW
BARC LN,BARC LN
Barclays,BARC LN
Barclays PLC,BARC LN
BARN SW,BARN SW
Barry Callebaut,BARN SW
Barry Callebaut AG,BARN SW
BAS GR,BAS GR
BASF SE,BAS GR
BAS GR,BAS GR
BASF SE,BAS GR
BATS LN,BATS LN
British American Tobacco,BATS LN
British American Tobacco plc,BATS LN
BA US,BA US
The Boeing,BA US
Boeing Co.,BA US
Boeing,BA US
The Boeing Co.,BA US
BAYN GR,BAYN GR
Bayer,BAYN GR
Bayer AG,BAYN GR
BB FP,BB FP
Société BIC,BB FP
Societe BIC,BB FP
Société BIC SA,BB FP
BBWI US,BBWI US
Bath & Body Works,BBWI US
Bath & Body Works Inc.,BBWI US
BBY US,BBY US
Best Buy,BBY US
Best Buy Co. Inc.,BBY US
BDX US,BDX US
Becton Dickinson,BDX US
Becton Dickinson & Co.,BDX US
BEI GR,BEI GR
Beiersdorf,BEI GR
Beiersdorf AG,BEI GR
BG US,BG US
Bunge,BG US
Bunge Global SA,BG US
BHP LN,BHP LN
BHP,BHP LN
BHP Group Ltd.,BHP LN
BIDU US,BIDU US
Baidu,BIDU US
Baidu Inc.,BIDU US
BIIB US,BIIB US
Biogen,BIIB US
Biogen Inc.,BIIB US
BKNG US,BKNG US
Booking,BKNG US
Booking Holdings Inc.,BKNG US
Booking Holdings,BKNG US
BKR US,BKR US
Baker Hughes,BKR US
Baker Hughes Co.,BKR US
BK US,BK US
The Bank of New York Mellon,BK US
The Bank of New York,BK US
Bank of New York,BK US
The Bank of New York Mellon Corp.,BK US
BLK US,BLK US
BlackRock,BLK US
BlackRock Inc.,BLK US
BMRN US,BMRN US
BioMarin Pharmaceutical.,BMRN US
BioMarin,BMRN US
BioMarin Pharmaceutical Inc.,BMRN US
BMW GR,BMW GR
BMW,BMW GR
Bayerische Motoren Werke,BMW GR
Bayerische Motoren Werke AG,BMW GR
BMY US,BMY US
Bristol Myers Squibb,BMY US
Bristol Myers Squibb Co.,BMY US
BN FP,BN FP
Danone,BN FP
Danone SA,BN FP
BNP FP,BNP FP
BNP Paribas,BNP FP
BNP Paribas SA,BNP FP
BNTX US,BNTX US
BioNTech,BNTX US
BioNTech SE,BNTX US
BOSS GR,BOSS GR
HUGO BOSS,BOSS GR
BOSS,BOSS GR
HUGO BOSS AG,BOSS GR
BP LN,BP LN
BP,BP LN
BP Plc,BP LN
BRK US,BRK US
Berkshire Hathaway,BRK US
Berkshire,BRK US
Berkshire Hathaway Inc.,BRK US
BSX US,BSX US
Boston Scientific,BSX US
Boston Scientific Corp.,BSX US
BT LN,BT LN
BT Group,BT LN
BT Group Plc,BT LN
BUCN SW,BUCN SW
Bucher,BUCN SW
Bucher Industries AG,BUCN SW
BX US,BX US
Blackstone,BX US
Blackstone Inc.,BX US
CAC,CAC
CAC 40,CAC
CA FP,CA FP
Carrefour,CA FP
Carrefour SA,CA FP
CAP FP,CAP FP
Capgemini,CAP FP
Capgemini SE,CAP FP
CAT US,CAT US
Caterpillar,CAT US
Caterpillar Inc.,CAT US
CBK GR,CBK GR
Commerzbank,CBK GR
Commerzbank AG,CBK GR
CCJ US,CCJ US
Cameco,CCJ US
Cameco Corp.,CCJ US
CCL US,CCL US
Carnival,CCL US
Carnival Corp.,CCL US
CFR SW,CFR SW
Compagnie Financière Richemont,CFR SW
Compagnie Financiere Richemont,CFR SW
Richemont,CFR SW
Compagnie Financière Richemont SA,CFR SW
CF US,CF US
CF,CF US
CF Industries,CF US
CF Industries Holdings Inc.,CF US
CHKP US,CHKP US
Check Point Software,CHKP US
Check Point,CHKP US
Check Point Software Technologies Ltd.,CHKP US
CLN SW,CLN SW
Clariant,CLN SW
Clariant AG,CLN SW
CL US,CL US
Colgate-Palmolive,CL US
Colgate-Palmolive Co.,CL US
CLX US,CLX US
The Clorox,CLX US
Clorox,CLX US
The Clorox Co.,CLX US
CMCSA US,CMCSA US
Comcast,CMCSA US
Comcast Corp.,CMCSA US
CME US,CME US
CME Group,CME US
CME Group Inc.,CME US
CMI US,CMI US
Cummins,CMI US
Cummins Inc.,CMI US
COF US,COF US
Capital One Financial,COF US
Capital One Financial Corp.,COF US
CON GR,CON GR
Continental,CON GR
Continental AG,CON GR
COP US,COP US
Conoco Phillips,COP US
ConocoPhillips,COP US
COST US,COST US
Costco Wholesale,COST US
Costco Wholesale Corp.,COST US
Costco,COST US
CPB US,CPB US
Campbell Soup,CPB US
Campbell,CPB US
Campbell Soup Co.,CPB US
CPG LN,CPG LN
Compass Group,CPG LN
Compass,CPG LN
Compass Group Plc,CPG LN
CRM US,CRM US
Salesforce,CRM US
Salesforce Inc.,CRM US
CSCO US,CSCO US
Cisco Systems,CSCO US
Cisco,CSCO US
Cisco Systems Inc.,CSCO US
CS FP,CS FP
AXA SA,CS FP
AXA,CS FP
CTSH US,CTSH US
Cognizant Technology Solutions,CTSH US
Cognizant,CTSH US
Cognizant Technology Solutions Corp.,CTSH US
CTVA US,CTVA US
Corteva,CTVA US
Corteva Inc.,CTVA US
C US,C US
Citigroup,C US
Citi,C US
Citigroup Inc.,C US
CVS US,CVS US
CVS Health,CVS US
CVS,CVS US
CVS Health Corp.,CVS US
CVX US,CVX US
Chevron,CVX US
Chevron Corp.,CVX US
DAL US,DAL US
Delta Air Lines,DAL US
Delta Air,DAL US
Delta,DAL US
Delta Air Lines Inc.,DAL US
DAX,DAX
DAX 30,DAX
DAX 30 INDEX,DAX
DB1 GR,DB1 GR
Deutsche Börse,DB1 GR
Deutsche Borse,DB1 GR
Deutsche Börse AG,DB1 GR
DBK GR,DBK GR
Deutsche Bank,DBK GR
Deutsche Bank AG,DBK GR
DD US,DD US
DuPont de Nemours,DD US
DuPont,DD US
DuPont de Nemours Inc.,DD US
DECK US,DECK US
Deckers Outdoor,DECK US
Deckers,DECK US
Deckers Outdoor Corp.,DECK US
DELL US,DELL US
Dell Technologies,DELL US
Dell,DELL US
Dell Technologies Inc.,DELL US
DE US,DE US
Deere,DE US
Deere & Co.,DE US
DGE LN,DGE LN
Diageo,DGE LN
Diageo Plc,DGE LN
DG FP,DG FP
VINCI,DG FP
VINCI SA,DG FP
DG US,DG US
Dollar General.,DG US
Dollar General Corp.,DG US
DHI US,DHI US
D.R. Horton,DHI US
D.R. Horton Inc.,DHI US
DHL GR,DHL GR
Deutsche Post,DHL GR
Deutsche Post AG,DHL GR
DHR US,DHR US
Danaher,DHR US
Danaher Corp.,DHR US
DIA US,DIA US
SPDR Dow Jones Industrial Average ETF Trust,DIA US
Dow Jones Industrial Average ETF,DIA US
DIS US,DIS US
The Walt Disney,DIS US
Walt Disney Co.,DIS US
Walt Disney,DIS US
DKS US,DKS US
Dick's Sporting Goods,DKS US
Dick's Sporting Goods Inc.,DKS US
DLTR US,DLTR US
Dollar Tree,DLTR US
Dollar Tree Inc.,DLTR US
DOKA SW,DOKA SW
dormakaba,DOKA SW
dormakaba Holding AG,DOKA SW
DPZ US,DPZ US
Domino's Pizza,DPZ US
Domino's,DPZ US
Domino's Pizza Inc.,DPZ US
DSY FP,DSY FP
Dassault Systèmes,DSY FP
Dassault,DSY FP
Dassault Systèmes SA,DSY FP
DTE GR,DTE GR
Deutsche Telekom,DTE GR
Deutsche Telekom AG,DTE GR
DVA US,DVA US
DaVita,DVA US
DaVita Inc.,DVA US
DVN US,DVN US
Devon Energy,DVN US
Devon,DVN US
Devon Energy Corp.,DVN US
EA US,EA US
Electronic Arts,EA US
Electronic Arts Inc.,EA US
EBAY US,EBAY US
eBay,EBAY US
eBay.com,EBAY US
eBay Inc.,EBAY US
ECL US,ECL US
Ecolab,ECL US
Ecolab Inc.,ECL US
EEM US,EEM US
iShares MSCI Emerging Markets ETF,EEM US
EFA US,EFA US
iShares MSCI EAFE ETF,EFA US
ELE SM,ELE SM
Endesa,ELE SM
Endesa SA,ELE SM
EL FP,EL FP
EssilorLuxottica,EL FP
EssilorLuxottica SA,EL FP
EL US.,EL US
The Estée Lauder Companies,EL US
Estée Lauder Companies Inc.,EL US
Estée Lauder,EL US
The Estée Lauder Companies Inc.,EL US
EMSN SW,EMSN SW
EMS-Chemie Holding,EMSN SW
EMS-Chemie,EMSN SW
EMS-Chemie Holding AG,EMSN SW
ENEL IM,ENEL IM
Enel,ENEL IM
Enel SpA,ENEL IM
EN FP,EN FP
Bouygues,EN FP
EN FP,EN FP
Bouygues SA,EN FP
ENGI FP,ENGI FP
ENGIE,ENGI FP
ENGIE SA,ENGI FP
ENI IM,ENI IM
Eni,ENI IM
Eni SpA,ENI IM
EOAN GR,EOAN GR
E.ON,EOAN GR
E.ON SE,EOAN GR
EQT US,EQT US
EQT,EQT US
EQT Corp.,EQT US
EW US,EW US
Edwards Lifesciences,EW US
Edwards Lifesciences Corp.,EW US
EWW US,EWW US
iShares MSCI Mexico ETF,EWW US
EWZ US,EWZ US
iShares MSCI Brazil ETF,EWZ US
EXPE US,EXPE US
Expedia Group,EXPE US
Expedia,EXPE US
Expedia Group Inc.,EXPE US
FANG US,FANG US
Diamondback Energy,FANG US
Diamondback,FANG US
Diamondback Energy Inc.,FANG US
FCX US,FCX US
Freeport-McMoRan,FCX US
Freeport-McMoRan Inc.,FCX US
FDX US,FDX US
FedEx,FDX US
FedEx Corp.,FDX US
FEZ US,FEZ US
SPDR EURO STOXX 50 ETF,FEZ US
FGR FP,FGR FP
Eiffage,FGR FP
Eiffage SA,FGR FP
FME GR,FME GR
Fresenius Medical Care,FME GR
Fresenius Medical Care AG & Co. KGaA,FME GR
FNV US,FNV US
Franco-Nevada,FNV US
Franco-Nevada Corp.,FNV US
FRE GR,FRE GR
Fresenius SE,FRE GR
Fresenius SE & Co. KGaA,FRE GR
FR FP,FR FP
Valeo,FR FP
Valeo SE,FR FP
FSLR US,FSLR US
First Solar,FSLR US
First Solar Inc.,FSLR US
FTNT US,FTNT US
Fortinet,FTNT US
Fortinet Inc.,FTNT US
F US,F US
Ford Motor,F US
Ford,F US
Ford Motor Co.,F US
FXI US,FXI US
iShares China Large-Cap ETF,FXI US
GD US,GD US
General Dynamics,GD US
General Dynamics Corp.,GD US
GDX US,GDX US
VanEck Gold Miners ETF,GDX US
VanEck,GDX US
GEBN SW,GEBN SW
Geberit,GEBN SW
Geberit AG,GEBN SW
GE US,GE US
General Electric,GE US
General Electric Co.,GE US
GILD US,GILD US
Gilead Sciences,GILD US
Gilead,GILD US
Gilead Sciences Inc.,GILD US
G IM,G IM
Assicurazioni Generali,G IM
Assicurazioni Generali SpA,G IM
GIS US,GIS US
General Mills,GIS US
General Mills Inc.,GIS US
GIVN SW,GIVN SW
Givaudan,GIVN SW
Givaudan SA,GIVN SW
GLD US,GLD US
SPDR Gold Shares,GLD US
GLE FP,GLE FP
Société Générale,GLE FP
Societe Generale,GLE FP
Société Générale SA,GLE FP
GLEN LN,GLEN LN
Glencore,GLEN LN
Glencore Plc,GLEN LN
GM US,GM US
General Motors,GM US
General Motors Co.,GM US
GOLD US,GOLD US
Barrick Gold,GOLD US
Barrick,GOLD US
Barrick Gold Corp.,GOLD US
GOOGL US,GOOGL US
Alphabet,GOOGL US
Alphabet Inc.,GOOGL US
GOOGL,GOOGL US
GOOGL US,GOOGL US
Google Inc.,GOOGL US
Google Corporation,GOOGL US
GOOGLE INC.,GOOGL US
Google,GOOGL US
GSK LN,GSK LN
GSK Plc,GSK LN
GSK,GSK LN
GS US,GS US
The Goldman Sachs.,GS US
The Goldman Sachs Group,GS US
Goldman Sachs,GS US
HAL US,HAL US
Halliburton,HAL US
Halliburton Co.,HAL US
HAS US,HAS US
Hasbro,HAS US
Hasbro Inc.,HAS US
HCA US,HCA US
HCA Healthcare,HCA US
HCA Healthcare Inc.,HCA US
HD US,HD US
The Home Depot,HD US
Home Depot,HD US
The Home Depot Inc.,HD US
HEIA NA,HEIA NA
Heineken,HEIA NA
Heineken NV,HEIA NA
HEI GR,HEI GR
Heidelberg,HEI GR
Heidelberg Materials AG,HEI GR
HELN SW,HELN SW
Helvetia Holding,HELN SW
Helvetia,HELN SW
Helvetia Holding AG,HELN SW
HEN GR,HEN GR
Henkel,HEN GR
Henkel AG & Co. KGaA,HEN GR
HES US,HES US
Hess,HES US
Hess Corp.,HES US
HLT US,HLT US
Hilton Worldwide,HLT US
Hilton Worldwide Holdings Inc.,HLT US
HMB SS,HMB SS
H&M Hennes & Mauritz,HMB SS
Hennes & Mauritz,HMB SS
H&M Hennes & Mauritz AB,HMB SS
HNR1 GR,HNR1 GR
Hannover Rück,HNR1 GR
Hannover Rück SE,HNR1 GR
HO FP,HO FP
Thales,HO FP
Thales SA,HO FP
HOLN SW,HOLN SW
Holcim,HOLN SW
Holcim Ltd.,HOLN SW
HON US,HON US
Honeywell International,HON US
Honeywell,HON US
Honeywell International Inc.,HON US
HPE US,HPE US
Hewlett Packard,HPE US
Hewlett Packard Enterprise Co.,HPE US
HPQ US,HPQ US
HP Inc.,HPQ US
HSBA LN,HSBA LN
HSBC Holdings,HSBA LN
HSBC Holdings Plc,HSBA LN
HSCEI,HSCEI
Hang Seng,HSCEI
Hang Seng China Enterprise,HSCEI
HSY US,HSY US
The Hershey,HSY US
Hershey,HSY US
The Hershey Co.,HSY US
Hyatt Hotels Corp.,H US
IBE SM,IBE SM
Iberdrola,IBE SM
Iberdrola SA,IBE SM
IBM US,IBM US
IBM,IBM US
International Business Machines.,IBM US
International Business Machines Corp.,IBM US
IFX GR,IFX GR
Infineon Technologies,IFX GR
Infineon,IFX GR
Infineon Technologies AG,IFX GR
ILMN US,ILMN US
Illumina,ILMN US
Illumina Inc.,ILMN US
IMB LN,IMB LN
Imperial Brands,IMB LN
Imperial Brands Plc,IMB LN
INDU,INDU
DOW JONES INDUSTRIAL 30,INDU
INGA NA,INGA NA
ING Groep,INGA NA
ING Groep NV,INGA NA
Intel Corp.,INTC US
Intel Corporation,INTC US
Intel,INTC US
